"stars","score","score_location","score_cleaning","score_service","score_value_money","ranking","price_range","opinions","opinions_excellent","opinions_good","opinions_normal","opinions_bad","opinions_awful","num_qa","nearby_restaurants","nearby_attractions","zone","latitude","longitude","has_swimming_pool","has_bar","has_restaurant","has_breakfast","has_gym","has_reception_24h","has_ac","has_strongbox","admits_pets","rooms","suites","sea_views_rooms","non_smoking_rooms","landmarks_views_rooms","city_views_rooms","family_rooms","style","tripadvisor_clasification","language_spanish","language_catalan","language_french","language_english","language_italian","language_bulgarian","language_russian","language_portuguese","prat_distance","price_range_disc","district"
3,3.5,3.5,4,4,4,342,104.5,1877,350,896,477,90,64,74,190,17,"Poblenou",41.401787,2.197844,"False","False","False","True","False","True","True","False","False",186,"False","False","True","False","False","True","Barrio residencial",96,"True","True","True","True","True","False","False","False",15,"Medio","Sant Martí"
1,3.5,4.5,3.5,4,4,186,51.5,190,41,90,31,16,12,2,539,113,"El Ensanche (Eixample)",41.390591,2.16264,"False","False","False","True","False","False","False","False","False",16,"False","False","True","False","False","True","Económico",100,"True","False","False","True","False","False","False","False",12,"Barato","Eixample"
NA,4.5,5,5,5,4.5,26,154.5,313,262,39,3,2,7,19,501,89,"El Ensanche (Eixample)",41.393837,2.155604,"False","False","False","True","False","False","True","False","False",4,"False","False","True","False","False","False","Moderno",100,"True","True","True","True","True","False","True","True",12,"Caro","Eixample"
2,4,4.5,4,4,4,136,156,720,307,210,99,54,50,3,487,116,"El Ensanche (Eixample)",41.392265,2.162981,"False","False","False","False","False","True","False","False","False",20,"False","False","True","False","False","False","Económico",100,"True","True","True","True","True","False","False","True",12,"Caro","Eixample"
1,4,5,4,4,4,294,97.5,1399,356,626,278,85,54,46,631,219,"Ciutat Vella",41.384869,2.170327,"False","False","False","True","False","True","True","True","False",60,"False","False","True","False","False","True","Céntrico",100,"True","True","True","True","True","False","False","True",12,"Medio","Ciutat Vella"
4,4,4,4.5,4,4,181,157,1352,485,585,196,52,34,16,95,6,"Diagonal Mar i el Front Marítim del Poblenou",41.408085,2.212055,"False","True","True","True","False","True","True","True","False",144,"False","False","True","False","False","False","Barrio residencial",95,"True","True","True","True","True","False","False","False",16,"Caro","Sant Martí"
5,4.5,5,5,4.5,4.5,64,317.5,1590,1226,214,93,24,33,119,400,70,"El Ensanche (Eixample)",41.391685,2.171747,"True","True","True","True","True","True","True","False","False",83,"True","False","True","False","False","True","Con encanto",100,"True","True","False","False","False","False","False","False",13,"Lujo","Eixample"
1,3.5,4.5,4,4,3.5,219,114,116,37,40,17,8,14,3,638,247,"Ciutat Vella",41.379108,2.174336,"False","False","False","True","False","True","False","False","False",10,"False","False","True","False","False","True","Céntrico",100,"True","True","True","True","False","False","True","True",12,"Medio","Ciutat Vella"
2,4,4.5,4.5,4.5,4.5,56,91.5,453,197,170,55,16,15,9,427,84,"El Ensanche (Eixample)",41.392963,2.168912,"False","False","False","False","False","True","False","False","False",20,"False","False","True","False","False","True","Céntrico",100,"True","False","True","True","False","False","False","False",13,"Medio","Eixample"
4,4.5,5,4.5,4.5,4,106,150,2537,1336,913,204,46,38,40,521,157,"El Ensanche (Eixample)",41.385849,2.168515,"False","True","True","True","False","True","True","True","False",91,"True","False","True","False","True","False","Vistas a la ciudad",100,"True","False","True","True","True","False","True","False",12,"Caro","Eixample"
4,4,5,4.5,4,4,264,133.5,375,138,150,53,15,19,21,836,363,"Ciutat Vella",41.383484,2.178284,"False","False","False","True","False","True","True","True","False",81,"False","False","True","False","False","False","",100,"True","True","True","True","True","False","False","False",12,"Medio","Ciutat Vella"
4,4.5,5,5,4.5,4.5,73,137.5,581,411,127,29,12,2,21,529,129,"Ciutat Vella",41.385796,2.165903,"True","True","False","True","False","True","True","True","True",56,"True","False","True","False","False","False","Céntrico",100,"True","True","True","True","False","False","False","True",12,"Medio","Ciutat Vella"
4,4,4,4.5,4,4,240,205.5,3916,1754,1322,460,217,164,108,89,16,"Diagonal Mar i el Front Marítim del Poblenou",41.40844,2.217146,"True","True","True","True","True","True","True","False","False",433,"True","True","True","False","True","True","Vistas al mar",94,"False","True","True","True","False","False","False","False",17,"Caro","Sant Martí"
4.5,4.5,5,5,4.5,4.5,35,191.5,1171,890,215,41,17,8,76,483,127,"El Ensanche (Eixample)",41.387657,2.167501,"True","True","False","True","False","True","True","True","False",85,"False","False","False","False","False","False","Tranquilo",100,"True","True","True","True","True","False","False","False",12,"Caro","Eixample"
3,4,5,4.5,4,4,231,101,520,175,251,55,20,19,51,822,349,"Ciutat Vella",41.383804,2.178439,"False","True","False","True","False","True","True","True","False",50,"False","False","True","False","False","False","Céntrico",100,"True","True","True","True","True","False","False","False",12,"Medio","Ciutat Vella"
2,3.5,4,3.5,3.5,3.5,182,50.5,386,115,120,66,38,47,1,150,49,"El Parc i la Llacuna del Poblenou",41.391186,2.184347,"False","False","False","False","False","False","True","False","False",5,"False","False","False","False","False","False","Económico",100,"True","True","False","True","True","False","False","True",13,"Barato","Sant Martí"
4,4,4.5,4.5,4.5,4,210,127.5,1050,447,443,114,30,16,46,403,63,"El Ensanche (Eixample)",41.392471,2.172728,"True","True","True","True","False","True","True","True","False",98,"True","False","True","False","False","False","Ecológico",100,"True","True","True","True","True","False","False","False",13,"Medio","Eixample"
1,4,4,4.5,4.5,4.5,45,84.5,301,127,130,29,9,6,16,55,6,"Diagonal Mar i el Front Marítim del Poblenou",41.409866,2.209661,"False","False","False","False","False","True","True","True","False",32,"False","False","True","False","False","True","Moderno",87,"True","True","True","True","True","False","False","False",16,"Medio","Sant Martí"
4,3.5,4.5,4,4,3.5,286,147,1260,327,516,247,104,66,26,632,217,"Ciutat Vella",41.382915,2.170052,"True","False","True","True","False","True","True","True","False",105,"False","False","True","False","True","False","Céntrico",100,"True","True","True","True","True","False","False","False",12,"Medio","Ciutat Vella"
4,4.5,5,4.5,4.5,4.5,160,126,1235,739,358,87,29,23,78,412,110,"El Ensanche (Eixample)",41.390461,2.172653,"True","True","True","True","True","True","True","True","False",129,"False","False","True","False","False","False","Moderno",100,"False","True","False","True","False","False","False","False",13,"Medio","Eixample"
5,5,5,5,5,4.5,1,421,1522,1420,86,13,3,0,58,505,206,"Ciutat Vella",41.380169,2.181014,"True","True","True","True","True","True","True","True","False",28,"True","True","True","False","False","False","Romántico",100,"True","True","False","True","False","False","False","False",12,"Lujo","Ciutat Vella"
4.5,4,4.5,4.5,4,4,145,167,1515,627,622,184,47,35,40,539,123,"El Ensanche (Eixample)",41.391579,2.159383,"False","True","True","True","True","True","True","True","False",132,"True","False","True","False","False","True","Familiar",100,"True","True","True","True","False","False","False","False",12,"Caro","Eixample"
3,4.5,5,4.5,4.5,4,108,141.5,1552,890,500,100,32,30,75,658,273,"Ciutat Vella",41.385532,2.172984,"True","True","True","True","False","True","True","True","False",84,"True","False","True","False","False","False","Familiar",100,"True","False","True","True","False","False","True","False",12,"Medio","Ciutat Vella"
2,4,4.5,4.5,4.5,4,154,106.5,2018,771,988,205,29,25,56,317,48,"El Ensanche (Eixample)",41.400833,2.172517,"False","True","True","True","False","True","True","False","True",80,"False","False","True","False","False","True","Tranquilo",100,"True","True","True","True","False","False","False","False",14,"Medio","Eixample"
3,4,4,4.5,4,4,244,104.5,1199,370,540,203,55,31,19,351,58,"El Ensanche (Eixample)",41.386086,2.154121,"False","True","False","True","False","True","False","True","False",81,"True","False","True","False","False","False","Barrio residencial",100,"True","True","True","True","False","False","False","False",11,"Medio","Eixample"
3,4,4,4.5,4,4,276,81.5,628,183,291,108,23,23,36,140,15,"Sant Gervasi-La Bonanova",41.404728,2.138844,"False","True","True","True","False","True","True","True","True",63,"False","False","True","False","False","False","Barrio residencial",100,"True","False","True","True","True","False","False","False",13,"Medio","Sarrià"
2,3.5,4.5,4,3.5,3.5,263,60,144,30,52,32,12,18,2,424,80,"El Ensanche (Eixample)",41.392338,2.169989,"False","False","False","False","False","True","True","True","False",10,"False","False","True","False","False","True","",100,"True","False","True","True","True","False","False","False",13,"Medio","Eixample"
4,4.5,4,4.5,4.5,4,142,108.5,1265,590,512,104,31,28,63,63,15,"El Parc i la Llacuna del Poblenou",41.397743,2.188899,"False","True","True","True","True","True","True","True","False",97,"True","False","False","False","True","True","Moderno",100,"True","True","True","True","True","True","True","False",14,"Medio","Sant Martí"
2,3.5,4,3.5,3.5,3.5,368,55.5,133,32,34,34,11,22,3,474,46,"El Ensanche (Eixample)",41.393696,2.148275,"False","False","False","True","False","True","False","True","False",20,"False","False","True","False","False","False","Económico",100,"True","True","True","True","True","False","False","False",12,"Barato","Eixample"
4,4,4.5,4.5,4,4,232,161,3439,1529,1081,458,214,157,62,215,27,"Sants-Montjuïc",41.375496,2.148495,"True","True","True","True","True","True","True","True","False",347,"True","False","True","True","True","False","Vistas a la ciudad",100,"True","True","True","True","False","False","False","False",10,"Caro","Sants-Montjuïc"
1,4,5,4,4,4,325,96,442,102,207,94,18,21,8,777,327,"Ciutat Vella",41.381477,2.173919,"False","False","False","False","False","True","True","True","False",31,"False","False","True","False","False","False","Económico",100,"True","True","False","True","True","False","False","True",12,"Medio","Ciutat Vella"
